"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"random" "8" "-0.853930766461857" "0.754026961226995" "random"
"random" "6" "-1.21032158336752" "0.714042477017879" "random"
"random" "6" "-0.172734590287227" "0.806042917767422" "random"
"random" "6" "0.155917587147278" "0.779862952224536" "random"
"random" "6" "-0.440585364556985" "0.752899019668649" "random"
"random" "6" "-1.08080763264859" "0.714775004527873" "random"
"random" "6" "-1.037312220425" "0.691980068852879" "random"
"random" "7" "-1.19910599071751" "0.665082529906784" "random"
"random" "8" "-1.05408812656374" "0.771111319695164" "random"
"random" "8" "-0.432420698595223" "0.774395503488048" "random"
"random" "6" "-0.345212262233316" "0.766371960350474" "random"
"random" "7" "-1.05194634096693" "0.716888199533862" "random"
"random" "9" "-1.01319261355759" "0.693314060030572" "random"
"random" "6" "-1.13427886728773" "0.735462002250988" "random"
"random" "6" "-0.0583361379402647" "0.813803784284397" "random"
"random" "6" "-1.26618831440396" "0.748360628713914" "random"
"random" "6" "-0.749440028179635" "0.765225427823209" "random"
"random" "6" "-0.315471923237641" "0.746773381892198" "random"
"random" "10" "-0.431683261440074" "0.839666832146614" "random"
"random" "6" "-0.962900645063941" "0.706804234714666" "random"
"random" "7" "-0.181332161836055" "0.864495449500811" "random"
"random" "6" "-0.758192077521495" "0.765727404963759" "random"
"random" "6" "-1.15071024171829" "0.749926691703481" "random"
"random" "7" "-0.801092618783472" "0.737359803742727" "random"
"random" "7" "-0.808239813137126" "0.761269139122258" "random"
"random" "8" "-0.713229239823167" "0.723523725342014" "random"
"random" "6" "-0.864678600060686" "0.709312782269632" "random"
"random" "8" "-0.6612558567586" "0.746409660799488" "random"
"random" "6" "-0.657976109380309" "0.750750811041321" "random"
"random" "6" "-1.14268934941657" "0.701318447521723" "random"
"random" "9" "-1.3003663057276" "0.65375687474643" "random"
"random" "6" "-1.29271927740509" "0.710763655354381" "random"
"random" "7" "-0.340840720131193" "0.793609969607422" "random"
"random" "7" "-0.979186824452466" "0.742502057022836" "random"
"random" "8" "-0.354588776429302" "0.656315482162036" "random"
"random" "6" "-1.10328420911635" "0.785220847690766" "random"
