Interval SampleLenght ItemsSelectedMean ThFinalMean ThTrueMean SeThetasMean
] -2 ;  -1.5 ] 495 6.84646464646465 -1.6367296969697 -1.64405777777778 0.609335757575758
] -1.5 ;  -1 ] 471 8.39702760084926 -1.21663014861996 -1.15256560509554 0.549399787685775
] -1 ;  -0.5 ] 626 9.69009584664537 -0.730319488817891 -0.701740575079872 0.48025910543131
] -0.5 ;  0 ] 540 10.9740740740741 -0.222530185185185 0.0699072222222222 0.567367222222222
] 0 ;  0.5 ] 507 13.1301775147929 0.267587771203156 0.344915581854043 0.437001183431953
] 0.5 ;  1 ] 754 9.08488063660477 0.730843236074271 0.93748899204244 0.5619149867374
] 1 ;  1.5 ] 449 18.4654788418708 1.33313986636971 1.50497527839644 0.375170601336303
] 1.5 ;  2 ] 100 17.78 1.696275 1.689139 0.440823
] 2 ;  2.5 ] 554 21.4296028880866 2.23634368231047 2.17188014440433 0.154820577617329
] 2.5 ;  3.5 ] 483 10.0103519668737 2.70465838509317 2.61244824016563 0.442869565217391
